title,genres,actors,director
Avatar,Action Adventure Fantasy Science Fiction,Sam Worthington Zoe Saldana Sigourney Weaver,James Cameron
Pirates of the Caribbean: At World's End,Adventure Fantasy Action,Johnny Depp Orlando Bloom Keira Knightley,Gore Verbinski
Spectre,Action Adventure Crime,Daniel Craig Christoph Waltz Léa Seydoux,Sam Mendes
The Dark Knight Rises,Action Crime Drama Thriller,Christian Bale Michael Caine Gary Oldman,Christopher Nolan
John Carter,Action Adventure Science Fiction,Taylor Kitsch Lynn Collins Samantha Morton,Andrew Stanton
Spider-Man 3,Fantasy Action Adventure,Tobey Maguire Kirsten Dunst James Franco,Sam Raimi
Tangled,Animation Family,Zachary Levi Mandy Moore Donna Murphy,Byron Howard
Avengers: Age of Ultron,Action Adventure Science Fiction,Robert Downey Jr. Chris Hemsworth Mark Ruffalo,Joss Whedon
Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson,David Yates
Batman v Superman: Dawn of Justice,Action Adventure Fantasy,Ben Affleck Henry Cavill Gal Gadot,Zack Snyder
Superman Returns,Adventure Fantasy Action Science Fiction,Brandon Routh Kevin Spacey Kate Bosworth,Bryan Singer
Quantum of Solace,Adventure Action Thriller Crime,Daniel Craig Olga Kurylenko Mathieu Amalric,Marc Forster
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,Johnny Depp Orlando Bloom Keira Knightley,Gore Verbinski
The Lone Ranger,Action Adventure Western,Johnny Depp Armie Hammer William Fichtner,Gore Verbinski
Man of Steel,Action Adventure Fantasy Science Fiction,Henry Cavill Amy Adams Michael Shannon,Zack Snyder
The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,Ben Barnes William Moseley Anna Popplewell,Andrew Adamson
The Avengers,Science Fiction Action Adventure,Robert Downey Jr. Chris Evans Mark Ruffalo,Joss Whedon
Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,Johnny Depp Penélope Cruz Ian McShane,Rob Marshall
Men in Black 3,Action Comedy Science Fiction,Will Smith Tommy Lee Jones Josh Brolin,Barry Sonnenfeld
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson
The Amazing Spider-Man,Action Adventure Fantasy,Andrew Garfield Emma Stone Rhys Ifans,Marc Webb
Robin Hood,Action Adventure,Russell Crowe Cate Blanchett Max von Sydow,Ridley Scott
The Hobbit: The Desolation of Smaug,Adventure Fantasy,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson
The Golden Compass,Adventure Fantasy,Dakota Blue Richards Nicole Kidman Daniel Craig,Chris Weitz
King Kong,Adventure Drama Action,Naomi Watts Jack Black Adrien Brody,Peter Jackson
Titanic,Drama Romance Thriller,Kate Winslet Leonardo DiCaprio Frances Fisher,James Cameron
Captain America: Civil War,Adventure Action Science Fiction,Chris Evans Robert Downey Jr. Scarlett Johansson,Anthony Russo
Battleship,Thriller Action Adventure Science Fiction,Taylor Kitsch Alexander Skarsgård Rihanna,Peter Berg
Jurassic World,Action Adventure Science Fiction Thriller,Chris Pratt Bryce Dallas Howard Irrfan Khan,Colin Trevorrow
Skyfall,Action Adventure Thriller,Daniel Craig Judi Dench Javier Bardem,Sam Mendes
Spider-Man 2,Action Adventure Fantasy,Tobey Maguire Kirsten Dunst James Franco,Sam Raimi
Iron Man 3,Action Adventure Science Fiction,Robert Downey Jr. Gwyneth Paltrow Don Cheadle,Shane Black
Alice in Wonderland,Family Fantasy Adventure,Mia Wasikowska Johnny Depp Anne Hathaway,Tim Burton
X-Men: The Last Stand,Adventure Action Science Fiction Thriller,Hugh Jackman Halle Berry Ian McKellen,Brett Ratner
Monsters University,Animation Family,Billy Crystal John Goodman Steve Buscemi,Dan Scanlon
Transformers: Revenge of the Fallen,Science Fiction Action Adventure,Shia LaBeouf Megan Fox Josh Duhamel,Michael Bay
Transformers: Age of Extinction,Science Fiction Action Adventure,Mark Wahlberg Stanley Tucci Kelsey Grammer,Michael Bay
Oz: The Great and Powerful,Fantasy Adventure Family,James Franco Mila Kunis Rachel Weisz,Sam Raimi
The Amazing Spider-Man 2,Action Adventure Fantasy,Andrew Garfield Emma Stone Jamie Foxx,Marc Webb
TRON: Legacy,Adventure Action Science Fiction,Garrett Hedlund Jeff Bridges Olivia Wilde,Joseph Kosinski
Cars 2,Animation Family Adventure Comedy,Owen Wilson Larry the Cable Guy Michael Caine,John Lasseter
Green Lantern,Adventure Action Thriller Science Fiction,Ryan Reynolds Blake Lively Peter Sarsgaard,Martin Campbell
Toy Story 3,Animation Family Comedy,Tom Hanks Tim Allen Ned Beatty,Lee Unkrich
Terminator Salvation,Action Science Fiction Thriller,Christian Bale Sam Worthington Anton Yelchin,McG
Furious 7,Action,Vin Diesel Paul Walker Dwayne Johnson,James Wan
World War Z,Action Drama Horror Science Fiction Thriller,Brad Pitt Mireille Enos Abigail Hargrove,Marc Forster
X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,Hugh Jackman James McAvoy Michael Fassbender,Bryan Singer
Star Trek Into Darkness,Action Adventure Science Fiction,Chris Pine Zachary Quinto Zoe Saldana,J.J. Abrams
Jack the Giant Slayer,Action Family Fantasy,Nicholas Hoult Eleanor Tomlinson Ewan McGregor,Bryan Singer
The Great Gatsby,Drama Romance,Leonardo DiCaprio Tobey Maguire Carey Mulligan,Baz Luhrmann
Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,Jake Gyllenhaal Gemma Arterton Ben Kingsley,Mike Newell
Pacific Rim,Action Science Fiction Adventure,Idris Elba Charlie Hunnam Charlie Day,Guillermo del Toro
Transformers: Dark of the Moon,Action Science Fiction Adventure,Shia LaBeouf John Malkovich Ken Jeong,Michael Bay
Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,Harrison Ford Cate Blanchett Shia LaBeouf,Steven Spielberg
The Good Dinosaur,Adventure Animation Family,Raymond Ochoa Jack Bright Jeffrey Wright,Peter Sohn
Brave,Animation Adventure Comedy Family Action Fantasy,Kelly Macdonald Julie Walters Billy Connolly,Brenda Chapman
Star Trek Beyond,Action Adventure Science Fiction,Chris Pine Zachary Quinto Karl Urban,Justin Lin
WALL·E,Animation Family,Ben Burtt Elissa Knight Jeff Garlin,Andrew Stanton
Rush Hour 3,Action Comedy Crime Thriller,Chris Tucker Jackie Chan Hiroyuki Sanada,Brett Ratner
2012,Action Adventure Science Fiction,John Cusack Amanda Peet Chiwetel Ejiofor,Roland Emmerich
A Christmas Carol,Animation Drama,Gary Oldman Jim Carrey Steve Valentine,Robert Zemeckis
Jupiter Ascending,Science Fiction Fantasy Action Adventure,Mila Kunis Channing Tatum Sean Bean,Lilly Wachowski
The Legend of Tarzan,Action Adventure,Alexander Skarsgård Margot Robbie Christoph Waltz,David Yates
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,William Moseley Anna Popplewell Skandar Keynes,Andrew Adamson
X-Men: Apocalypse,Science Fiction,James McAvoy Michael Fassbender Jennifer Lawrence,Bryan Singer
The Dark Knight,Drama Action Crime Thriller,Christian Bale Heath Ledger Aaron Eckhart,Christopher Nolan
Up,Animation Comedy Family Adventure,Ed Asner Christopher Plummer Jordan Nagai,Pete Docter
Monsters vs Aliens,Animation Family Adventure Science Fiction,Seth Rogen Reese Witherspoon Hugh Laurie,Conrad Vernon
Iron Man,Action Science Fiction Adventure,Robert Downey Jr. Terrence Howard Jeff Bridges,Jon Favreau
Hugo,Adventure Drama Family,Ben Kingsley Sacha Baron Cohen Asa Butterfield,Martin Scorsese
Wild Wild West,Action Adventure Comedy Science Fiction Western,Will Smith Kevin Kline Kenneth Branagh,Barry Sonnenfeld
The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,Brendan Fraser Jet Li John Hannah,Rob Cohen
Suicide Squad,Action Adventure Crime Fantasy Science Fiction,Will Smith Margot Robbie Joel Kinnaman,David Ayer
Evan Almighty,Fantasy Comedy Family,Steve Carell Lauren Graham John Goodman,Tom Shadyac
Edge of Tomorrow,Action Science Fiction,Tom Cruise Emily Blunt Brendan Gleeson,Doug Liman
Waterworld,Adventure Action,Kevin Costner Chaim Girafi Rick Aviles,Kevin Reynolds
G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,Dennis Quaid Channing Tatum Marlon Wayans,Stephen Sommers
Inside Out,Drama Comedy Animation Family,Amy Poehler Phyllis Smith Richard Kind,Pete Docter
The Jungle Book,Family Adventure Drama Fantasy,Neel Sethi Bill Murray Ben Kingsley,Jon Favreau
